NUMBER,Laps,BestLap(s),AvgLap(s),StdDev(s),S1Best,S2Best,S3Best,TheoreticalBest(s),SOURCE_DIR
5,12,150.848,152.119,1.002,32.758,57.82,59.768,150.346,cota1
7,12,148.678,149.221,0.45,32.544,56.689,59.129,148.362,cota1
8,11,153.79,155.357,1.061,33.467,58.681,61.245,153.393,cota1
11,8,151.702,152.245,0.399,33.048,57.988,60.261,151.297,cota1
13,13,148.745,149.498,0.688,32.526,56.786,59.131,148.443,cota1
14,12,150.363,151.495,0.932,32.837,57.505,59.468,149.81,cota1
15,3,151.899,152.039,0.14,33.127,58.301,60.32,151.748,cota1
16,12,148.726,149.288,0.464,32.431,56.909,59.189,148.529,cota1
18,11,153.543,155.986,1.495,33.551,58.47,61.343,153.364,cota1
21,12,148.989,150.151,0.846,32.444,56.954,59.254,148.652,cota1
31,5,150.244,151.896,1.739,32.732,57.684,59.751,150.167,cota1
41,12,149.262,150.088,0.817,32.413,57.199,59.205,148.817,cota1
46,13,148.63,149.315,0.557,32.531,56.745,58.945,148.221,cota1
47,12,149.69,150.654,0.812,32.45,57.419,59.447,149.316,cota1
51,7,153.568,154.033,0.37,33.465,58.613,60.704,152.782,cota1
55,12,148.679,149.382,0.614,32.533,57.009,58.918,148.46,cota1
57,12,153.619,154.929,1.216,33.356,59.073,60.883,153.312,cota1
71,12,149.526,150.304,0.498,32.622,57.263,59.494,149.379,cota1
72,12,148.848,149.535,0.581,32.414,56.9,59.238,148.552,cota1
73,11,152.063,153.745,1.469,33.293,58.418,60.306,152.017,cota1
78,11,149.293,149.827,0.466,32.617,57.207,59.28,149.104,cota1
80,10,152.369,154.263,1.398,32.892,58.621,60.856,152.369,cota1
86,12,153.294,154.233,0.677,33.334,58.798,60.845,152.977,cota1
88,12,149.418,151.137,1.008,32.399,57.137,59.819,149.355,cota1
89,10,149.744,150.655,1.045,32.532,57.323,59.374,149.229,cota1
93,12,151.169,151.818,0.537,32.674,57.626,59.77,150.07,cota1
98,11,149.983,150.399,0.303,32.627,57.402,59.458,149.487,cota1
113,10,149.926,150.808,0.896,32.459,57.621,59.349,149.429,cota1
2,7,148.609,149.418,0.729,32.364,56.755,59.3,148.419,cota2
5,10,149.848,151.368,1.301,32.396,57.624,59.06,149.08,cota2
7,8,148.112,148.278,0.136,32.424,56.699,58.876,147.999,cota2
8,10,153.233,155.357,1.668,32.959,58.737,60.815,152.511,cota2
11,10,151.501,153.305,1.226,33.118,57.951,59.704,150.773,cota2
13,10,148.115,148.708,0.535,32.408,56.63,58.819,147.857,cota2
14,9,149.906,151.669,1.155,32.654,57.623,59.466,149.743,cota2
15,10,149.4,151.474,1.492,32.34,57.214,59.66,149.214,cota2
16,10,148.51,149.428,0.665,32.225,56.791,59.316,148.332,cota2
18,6,151.905,152.783,0.447,33.042,58.123,60.395,151.56,cota2
21,10,148.397,149.499,0.69,32.267,56.926,59.125,148.318,cota2
31,10,149.354,151.565,1.689,32.58,57.513,59.236,149.329,cota2
41,10,148.956,150.565,1.342,32.415,57.254,58.899,148.568,cota2
46,8,148.317,148.658,0.313,32.416,56.833,58.728,147.977,cota2
47,10,149.273,150.375,1.154,32.394,57.198,59.458,149.05,cota2
51,9,150.931,152.253,0.736,32.745,57.562,60.107,150.414,cota2
55,10,148.778,149.918,0.881,32.584,56.934,58.964,148.482,cota2
57,8,152.766,153.03,0.186,33.015,58.168,60.433,151.616,cota2
71,10,149.061,149.807,0.69,32.373,57.062,59.301,148.736,cota2
72,10,148.693,149.541,0.589,32.396,57.028,59.101,148.525,cota2
73,10,151.237,153.064,1.082,32.818,57.783,60.164,150.765,cota2
78,10,149.284,150.428,1.263,32.53,57.212,59.219,148.961,cota2
80,8,151.506,154.574,3.408,32.669,58.078,60.455,151.202,cota2
86,10,151.889,153.324,0.852,33.035,58.36,60.318,151.713,cota2
88,10,149.389,151.476,1.283,32.404,57.478,59.411,149.293,cota2
89,10,149.614,151.313,1.256,32.403,57.384,59.324,149.111,cota2
93,9,150.06,151.803,1.884,32.586,57.748,59.496,149.83,cota2
98,10,149.087,151.309,1.584,32.453,57.461,58.998,148.912,cota2
113,10,150.586,151.706,0.911,32.671,57.516,59.427,149.614,cota2
