NUMBER,Laps,BestLap(s),AvgLap(s),StdDev(s),S1Best,S2Best,S3Best,TheoreticalBest(s),SOURCE_DIR
2,20,100.305,100.898,0.524,33.956,33.452,32.552,99.96,indy1
3,39,101.384,102.671,0.884,34.537,33.851,32.818,101.206,indy1
5,20,100.989,102.287,1.026,34.317,33.787,32.739,100.843,indy1
7,10,100.271,100.591,0.312,33.958,33.545,32.558,100.061,indy1
8,17,103.621,104.413,0.444,35.307,34.743,33.19,103.24,indy1
11,20,101.713,102.929,0.624,34.631,34.156,32.863,101.65,indy1
13,20,100.133,100.834,0.571,33.973,33.582,32.433,99.988,indy1
18,20,101.873,103.128,0.752,34.517,34.092,32.908,101.517,indy1
20,17,105.118,106.33,0.818,35.612,35.526,33.839,104.977,indy1
21,40,100.814,101.809,0.606,34.26,33.691,32.708,100.659,indy1
22,18,100.156,100.707,0.339,33.949,33.516,32.382,99.847,indy1
31,2,106.933,107.4,0.661,37.817,34.583,33.411,105.811,indy1
46,20,100.229,100.986,0.566,34.048,33.602,32.55,100.2,indy1
47,21,100.322,101.163,0.718,34.117,33.509,32.563,100.189,indy1
51,19,101.043,101.929,0.704,34.291,33.6,32.749,100.64,indy1
55,20,99.748,100.858,0.847,33.901,33.383,32.413,99.697,indy1
57,17,103.284,105.601,1.202,34.913,34.934,33.298,103.145,indy1
61,19,101.811,102.614,0.628,34.505,34.191,32.921,101.617,indy1
72,12,100.04,100.814,0.695,33.94,33.57,32.36,99.87,indy1
80,7,101.547,102.235,0.392,34.722,34.072,32.703,101.497,indy1
86,1,114.101,114.101,,43.302,36.508,34.291,114.101,indy1
88,18,100.37,101.44,0.702,34.097,33.643,32.63,100.37,indy1
89,20,101.322,102.16,0.793,34.363,33.91,32.768,101.041,indy1
93,18,102.091,102.583,0.298,34.616,34.202,32.935,101.753,indy1
98,20,100.062,100.916,0.659,33.986,33.499,32.384,99.869,indy1
111,19,101.405,102.221,0.785,34.372,33.815,32.807,100.994,indy1
113,17,100.717,101.049,0.226,34.167,33.823,32.603,100.593,indy1
2,9,101.003,101.439,0.424,34.254,33.729,32.699,100.682,indy2
3,19,102.343,104.241,1.559,34.692,34.404,33.069,102.165,indy2
5,8,102.15,102.749,0.5,34.835,34.218,32.928,101.981,indy2
7,10,100.801,102.106,0.946,34.298,33.868,32.61,100.776,indy2
8,9,104.255,105.68,1.359,35.346,35.062,33.473,103.881,indy2
11,8,102.811,104.149,1.142,35.086,34.393,33.083,102.562,indy2
13,10,100.747,101.64,0.895,34.179,33.714,32.661,100.554,indy2
18,9,104.018,105.454,1.382,35.317,34.927,33.509,103.753,indy2
20,9,108.733,112.467,2.494,37.039,36.353,35.184,108.576,indy2
21,19,101.337,102.853,1.161,34.456,33.908,32.811,101.175,indy2
22,10,100.46,102.011,1.21,34.207,33.731,32.487,100.425,indy2
31,10,100.712,102.125,1.434,34.242,33.822,32.582,100.646,indy2
46,10,100.556,102.044,1.197,34.211,33.574,32.635,100.42,indy2
47,10,101.098,102.142,1.084,34.28,33.867,32.755,100.902,indy2
51,10,101.567,102.92,1.326,34.356,34.078,32.88,101.314,indy2
55,10,100.409,101.875,1.096,34.062,33.666,32.34,100.068,indy2
57,9,104.428,106.453,2.427,35.49,35.146,33.498,104.134,indy2
61,9,108.576,110.125,0.841,36.951,36.327,35.298,108.576,indy2
72,10,100.885,102.224,1.394,34.159,33.792,32.488,100.439,indy2
80,10,102.291,104.127,1.657,34.736,34.451,32.98,102.167,indy2
86,9,106.085,107.629,1.605,36.178,35.67,33.946,105.794,indy2
88,11,101.112,103.601,1.788,34.396,33.811,32.807,101.014,indy2
89,9,102.585,103.294,0.617,34.919,34.332,33.071,102.322,indy2
93,10,102.61,103.774,1.329,34.844,34.511,33.017,102.372,indy2
98,10,100.485,102.697,1.308,34.178,33.826,32.481,100.485,indy2
111,10,101.721,103.033,1.392,34.469,34.078,32.904,101.451,indy2
113,2,110.965,122.834,16.785,40.102,36.951,33.912,110.965,indy2
