NUMBER,Laps,BestLap(s),AvgLap(s),StdDev(s),S1Best,S2Best,S3Best,TheoreticalBest(s),SOURCE_DIR
2,10,160.838,166.232,3.657,46.258,62.633,53.521,162.412,ra1
3,12,164.837,168.781,2.597,46.946,63.12,54.775,164.841,ra1
5,12,163.278,168.667,3.182,47.186,63.222,54.133,164.541,ra1
7,12,163.792,167.48,1.959,46.66,61.984,54.861,163.505,ra1
8,11,169.451,171.73,1.877,48.238,63.991,56.488,168.717,ra1
11,12,167.504,170.57,2.148,47.264,64.305,55.359,166.928,ra1
12,12,168.533,171.944,2.506,48.01,63.512,56.871,168.393,ra1
13,12,163.417,167.353,2.245,46.576,61.952,54.656,163.184,ra1
15,11,167.973,169.968,1.309,47.681,64.403,56.025,168.109,ra1
18,12,174.295,177.698,2.818,49.091,66.761,57.792,173.644,ra1
21,12,164.295,167.398,2.069,46.789,62.834,54.704,164.327,ra1
22,11,163.405,166.523,2.209,46.69,61.894,53.952,162.536,ra1
31,12,163.672,168.477,3.021,46.304,62.133,54.72,163.157,ra1
41,11,163.506,168.366,3.265,46.512,62.679,54.179,163.37,ra1
46,12,164.082,167.736,2.443,47.254,62.833,54.768,164.855,ra1
47,12,164.239,167.691,1.856,46.693,62.378,54.532,163.603,ra1
51,12,164.587,168.195,2.577,46.324,62.734,54.826,163.884,ra1
55,12,163.767,167.393,2.051,46.479,62.069,54.511,163.059,ra1
57,11,174.076,176.105,1.239,49.132,66.622,57.963,173.717,ra1
58,12,165.04,168.1,2.144,47.085,62.708,54.677,164.47,ra1
71,12,164.894,168.529,1.799,46.876,63.404,54.602,164.882,ra1
72,12,163.269,167.968,3.117,46.682,62.497,54.421,163.6,ra1
80,3,172.133,175.484,3.006,48.409,65.338,58.386,172.133,ra1
86,12,168.9,171.989,1.986,47.712,64.605,56.519,168.836,ra1
88,12,162.431,167.383,2.97,46.859,62.43,53.605,162.894,ra1
89,12,164.311,168.691,2.269,47.491,63.879,54.527,165.897,ra1
98,10,164.157,166.943,1.578,47.265,62.767,55.268,165.3,ra1
113,12,164.993,168.459,2.456,46.723,62.761,54.742,164.226,ra1
2,12,151.882,152.41,0.432,43.833,57.702,50.165,151.7,ra2
3,12,152.938,154.006,0.554,44.158,58.251,50.416,152.825,ra2
5,12,153.245,154.431,0.876,44.205,58.278,50.585,153.068,ra2
7,13,151.931,152.948,0.893,43.737,57.858,50.103,151.698,ra2
8,13,155.651,157.269,1.017,44.904,58.802,51.714,155.42,ra2
11,13,154.521,155.553,0.681,44.469,58.606,50.967,154.042,ra2
12,12,156.008,157.581,1.671,44.815,59.019,51.827,155.661,ra2
13,11,151.884,152.405,0.452,43.736,57.786,50.106,151.628,ra2
18,12,160.54,161.326,0.535,46.029,60.661,53.039,159.729,ra2
21,12,152.559,153.272,0.58,44.183,57.884,50.382,152.449,ra2
22,2,152.467,154.284,2.57,44.174,57.943,50.35,152.467,ra2
31,13,152.106,152.827,0.888,43.837,57.716,50.084,151.637,ra2
41,13,152.488,154.159,0.845,44.024,58.079,50.385,152.488,ra2
46,12,151.705,152.615,0.53,43.594,57.881,50.044,151.519,ra2
47,13,151.81,152.654,0.679,43.667,57.675,49.936,151.278,ra2
51,12,153.144,153.923,0.624,44.193,58.091,50.34,152.624,ra2
55,12,151.703,152.612,0.715,43.729,57.717,49.946,151.392,ra2
57,12,159.213,160.63,1.025,45.504,60.138,53.089,158.731,ra2
58,13,152.823,153.943,0.823,43.994,58.126,50.303,152.423,ra2
71,2,152.776,152.894,0.168,44.018,58.038,50.55,152.606,ra2
72,13,151.714,152.626,0.678,43.707,57.716,50.102,151.525,ra2
80,11,154.693,155.72,0.626,44.617,58.666,51.143,154.426,ra2
86,13,155.415,156.345,0.875,44.878,58.778,51.318,154.974,ra2
88,12,152.638,153.079,0.271,43.971,57.985,50.276,152.232,ra2
89,13,153.389,154.249,0.688,44.261,58.134,50.574,152.969,ra2
98,13,151.723,152.667,0.735,43.656,57.584,49.829,151.069,ra2
113,13,152.292,153.197,0.619,43.936,57.852,50.311,152.099,ra2
