NUMBER,Laps,BestLap(s),AvgLap(s),StdDev(s),S1Best,S2Best,S3Best,TheoreticalBest(s),SOURCE_DIR
2,16,112.039,112.372,0.219,37.443,37.06,37.301,111.804,sonoma1
5,10,114.3,116.737,2.17,38.524,37.502,38.225,114.251,sonoma1
7,14,112.156,112.597,0.269,37.534,36.924,37.339,111.797,sonoma1
11,17,114.517,115.582,0.828,38.634,37.686,37.941,114.261,sonoma1
12,16,116.145,117.644,1.297,39.054,38.063,38.383,115.5,sonoma1
13,17,111.724,112.352,0.415,37.394,36.928,37.315,111.637,sonoma1
14,16,113.568,114.788,0.643,38.12,37.243,37.839,113.202,sonoma1
15,17,113.855,114.587,0.676,38.034,37.487,37.828,113.349,sonoma1
16,17,112.119,112.513,0.357,37.463,37.022,37.263,111.748,sonoma1
17,15,113.277,114.539,0.697,38.155,37.368,37.703,113.226,sonoma1
21,14,112.632,113.621,0.738,37.895,37.08,37.49,112.465,sonoma1
31,17,112.459,113.58,0.811,37.727,37.069,37.512,112.308,sonoma1
41,3,113.484,114.709,1.695,38.226,37.329,37.885,113.44,sonoma1
46,17,112.073,112.362,0.296,37.525,36.916,37.427,111.868,sonoma1
47,14,112.612,113.658,0.76,37.64,37.115,37.26,112.015,sonoma1
50,16,112.948,113.682,0.571,37.737,37.245,37.687,112.669,sonoma1
51,16,113.955,114.884,0.489,38.05,37.714,37.71,113.474,sonoma1
55,15,111.985,112.308,0.151,37.496,36.969,37.377,111.842,sonoma1
67,3,114.607,116.768,3.132,38.931,37.666,38.01,114.607,sonoma1
71,17,112.76,113.376,0.602,37.755,37.056,37.612,112.423,sonoma1
72,13,111.668,112.752,0.555,37.354,36.83,37.413,111.597,sonoma1
73,17,114.289,114.976,0.568,38.184,37.456,38.045,113.685,sonoma1
78,17,112.02,112.559,0.445,37.553,36.945,37.337,111.835,sonoma1
80,17,115.84,116.943,0.706,38.795,38.303,38.329,115.427,sonoma1
88,16,112.465,113.148,0.476,37.647,37.004,37.446,112.097,sonoma1
89,16,112.502,113.535,0.633,37.774,37.068,37.587,112.429,sonoma1
93,17,113.915,114.666,0.638,38.125,37.647,37.666,113.438,sonoma1
98,17,112.3,112.782,0.448,37.684,36.944,37.389,112.017,sonoma1
113,17,113.303,114.087,0.668,37.78,37.242,37.663,112.685,sonoma1
2,15,112.615,113.188,0.42,37.6,37.157,37.486,112.243,sonoma2
5,6,116.932,119.224,2.25,39.437,38.414,38.726,116.577,sonoma2
7,15,112.521,113.322,0.592,37.656,37.112,37.442,112.21,sonoma2
11,15,114.919,117.424,1.686,38.818,37.832,37.976,114.626,sonoma2
12,14,117.719,119.326,1.369,39.892,38.525,39.078,117.495,sonoma2
13,15,112.961,114.927,1.941,37.801,37.16,37.656,112.617,sonoma2
14,14,113.78,115.095,1.33,38.099,37.398,37.984,113.481,sonoma2
15,14,113.858,115.774,1.047,37.919,37.45,38.013,113.382,sonoma2
16,15,112.794,114.647,1.512,37.867,37.411,37.469,112.747,sonoma2
17,15,114.814,117.074,1.601,38.535,37.751,38.154,114.44,sonoma2
21,15,113.712,116.561,1.903,37.952,37.285,37.8,113.037,sonoma2
31,14,113.531,115.13,1.537,37.842,37.194,37.719,112.755,sonoma2
41,13,115.403,116.574,0.887,38.723,37.911,38.02,114.654,sonoma2
46,3,114.467,114.507,0.046,38.231,37.374,38.073,113.678,sonoma2
47,14,113.157,114.719,1.117,37.95,37.145,37.757,112.852,sonoma2
50,15,113.456,114.689,0.865,38.065,37.514,37.808,113.387,sonoma2
51,14,114.314,116.722,1.906,38.44,37.747,37.847,114.034,sonoma2
55,15,112.833,114.333,1.33,37.859,37.226,37.625,112.71,sonoma2
67,15,114.908,117.135,1.827,38.68,37.665,38.278,114.623,sonoma2
71,14,113.063,113.915,0.638,37.865,37.173,37.936,112.974,sonoma2
72,15,113.094,114.337,1.288,37.918,37.19,37.613,112.721,sonoma2
73,13,114.305,116.551,1.699,38.323,37.658,38.208,114.189,sonoma2
78,14,113.081,113.89,0.687,37.905,37.215,37.748,112.868,sonoma2
80,12,117.675,118.621,0.677,39.372,38.433,38.685,116.49,sonoma2
88,14,113.541,115.431,1.374,38.124,37.423,37.693,113.24,sonoma2
89,16,113.363,115.473,1.551,38.202,37.244,37.575,113.021,sonoma2
93,15,114.585,117.025,2.025,38.677,37.734,37.965,114.376,sonoma2
98,15,113.562,115.234,1.295,38.303,37.415,37.844,113.562,sonoma2
113,12,113.218,116.628,2.478,38.047,37.271,37.815,113.133,sonoma2
