NUMBER,Laps,BestLap(s),AvgLap(s),StdDev(s),S1Best,S2Best,S3Best,TheoreticalBest(s),SOURCE_DIR
2,14,129.057,129.387,0.248,45.575,48.248,34.777,128.6,vir1
3,14,129.877,131.034,0.835,45.849,48.834,35.188,129.871,vir1
5,13,130.177,130.666,0.294,46.069,48.7,35.159,129.928,vir1
7,14,128.776,129.058,0.317,45.666,48.002,34.685,128.353,vir1
12,14,133.822,135.459,0.774,46.913,50.276,36.315,133.504,vir1
13,14,128.432,129.121,0.484,45.514,47.978,34.647,128.139,vir1
15,7,129.654,130.417,0.606,45.75,48.834,35.07,129.654,vir1
21,16,129.321,130.34,0.858,45.836,48.389,34.732,128.957,vir1
31,16,129.029,130.349,0.866,45.857,48.308,34.77,128.935,vir1
41,14,130.398,131.044,0.311,46.072,49.013,35.195,130.28,vir1
46,15,128.542,129.267,0.48,45.573,48.103,34.704,128.38,vir1
51,14,131.208,131.82,0.519,46.32,49.002,35.199,130.521,vir1
55,16,128.497,129.787,0.684,45.542,48.171,34.784,128.497,vir1
61,14,132.349,133.121,0.393,46.389,49.679,35.796,131.864,vir1
71,12,129.114,129.801,0.494,45.66,48.179,34.867,128.706,vir1
72,15,128.511,129.201,0.351,45.481,47.981,34.901,128.363,vir1
80,15,130.879,133.134,1.518,46.3,49.218,35.131,130.649,vir1
88,16,129.59,130.54,0.72,45.984,48.397,34.89,129.271,vir1
89,1,138.313,138.313,,52.84,49.156,36.317,138.313,vir1
93,12,131.154,131.545,0.259,46.277,48.914,35.241,130.432,vir1
98,2,132.513,165.284,46.345,49.14,48.332,35.041,132.513,vir1
111,15,129.345,130.244,0.557,45.827,48.444,34.915,129.186,vir1
113,16,129.373,130.643,0.723,45.84,48.353,34.739,128.932,vir1
2,20,128.941,129.779,0.551,45.645,48.278,34.793,128.716,vir2
3,18,129.662,130.661,0.554,45.885,48.701,35.053,129.639,vir2
5,20,129.901,130.859,0.653,46.072,48.452,35.06,129.584,vir2
7,20,128.768,129.778,0.723,45.581,48.165,34.62,128.366,vir2
12,19,133.905,135.117,0.655,46.581,50.448,36.15,133.179,vir2
13,20,128.501,129.78,0.594,45.541,48.062,34.8,128.403,vir2
15,19,129.754,130.825,0.609,45.895,48.759,35.076,129.73,vir2
41,19,130.054,130.677,0.425,45.892,48.784,35.108,129.784,vir2
46,20,128.501,129.822,0.598,45.661,48.13,34.71,128.501,vir2
51,18,130.769,131.86,0.7,46.266,48.967,35.134,130.367,vir2
55,17,128.834,129.456,0.318,45.621,48.192,34.881,128.694,vir2
61,19,131.34,132.412,0.485,46.167,49.477,35.556,131.2,vir2
71,19,128.908,129.697,0.462,45.776,48.153,34.908,128.837,vir2
72,20,128.682,129.766,0.586,45.522,48.115,34.758,128.395,vir2
80,18,130.784,131.391,0.394,46.15,48.814,35.306,130.27,vir2
88,20,129.282,130.06,0.49,45.895,48.237,34.932,129.064,vir2
89,16,131.359,131.907,0.41,46.363,48.835,35.626,130.824,vir2
93,20,130.049,131.255,0.667,45.872,48.82,35.108,129.8,vir2
98,20,128.99,129.789,0.557,45.711,48.272,34.905,128.888,vir2
111,20,129.171,129.674,0.258,45.768,48.253,34.768,128.789,vir2
113,19,129.498,130.588,0.816,46.03,48.397,34.844,129.271,vir2
